tag,english,dutch
p1,This study will unravel how human behaviour alters with healthy ageing. Much of our current understanding of how cognitive performance alters with age is based on simplistic laboratory experiments.,Met deze studie zal worden bestudeerd hoe menselijk gedrag verandert tijdens gezond ouder worden. Veel van onze huidige kennis over leeftijdseffecten op cognitieve prestaties is gebaseerd op simpele laboratoriumexperimenten.  
p2,In this study,In deze studie 
p3, we turn to real-world data collected on the smartphone – via a background App (but without recording any text or image). We believe that the subtle changes in smartphone behaviour as we age can reflect deeper changes in brain function. This study is conducted at the,richten wij ons op echte data verzameld met een smartphone - door een achtergrond-App (maar zonder dat er tekst of beelden worden vastgelegd). We geloven dat de subtiele veranderingen met leeftijd in dit smartphonegedrag informatie kunnen opleveren over veranderingen in het brein. Deze studie wordt uitgevoerd in het 
p4,and funded by ,en wordt gefinancierd door Stichting 
p5,Foundation,Stichting VELUX
p6,Switzerland.,Zwitserland.
link_for_participant,participant information ,deelnemersinformatie
p7,Interested in participating? Please see the ,Bent u geïnteresseerd in deelname aan dit onderzoek? Bekijk dan de 
p8,and ,en 
link_register,register!,schrijf u in! 
p9,Want to know more about this study? Please email us at agestudy@fsw.leidenuniv.nl,Wilt u meer weten over deze studie? Mail ons dan op agestudy@fsw.leidenuniv.nl 
