tag,english,dutch
label1,Email Address:,Email Adres:
button1,Change password,Verander wachtwoord
placeholder1,Type in previous password,Type hier het oude wachtwoord
placeholder2,Type in new password,Type hier het nieuwe wachtwoord
placeholder3,Retype new password,Type hier opnieuw het nieuwe wachtwoord
button2,Change password,Verander wachtwoord
message_number,  A number,Een getal
message_length,Password length: Minimum 5 characters,Wachtwoord lengte: Minimaal 5 karakters
p1,Type in a new password to reset it.,Voer een nieuw wachtwoord in om het te resetten.
reconnect_p_id,Instructions to activate the TapCounter App,Instructies om de TapCounter App te activeren
p_id_info,In case of a new device or attempting to activate the App again please follow one of these methods to continue participating successfully., Indien u tijdens uw deelname aan dit onderzoek een nieuw apparaat gebruikt of de App opnieuw probeert te activeren volg alstublieft een van de volgende methoden om succesvol te blijven deelnemen aan ons onderzoek.
change_pas,Change your password here,Wijzig hier uw wachtwoord
instructions_vid,Watch the instruction video ,Bekijk de instructie video 
here, here., hier.
