tag,english,dutch,,,
h11,The EEG experiment,Het EEG experiment,,,
p1,If you want to participate in EEG tests please email us at agestudy@fsw.leidenuniv.nl or 'Send request' by clicking below.,"Als u wilt deelnemen aan de EEG metingen, stuur ons dan alstublieft een e-mail naar agestudy@fsw.leidenuniv.nl of 'Stuur verzoek' door hieronder teklikken.",,,
button1,Send request,Stuur verzoek,,,
h12,What is EEG?  ,Wat is EEG?,,,
p2,"EEG measures your brain waves by placing a specialised cap on your head. This cap is attached to a computer to process and store the signals. It is a passive measure, which means that the sensors in the cap simply pick up the brain signals. The sensors do not emit any electrical activity themselves.  ","EEG meet uw breingolven door het plaatsen van een speciaal kapje op uw hoofd. Dit kapje is verbonden met een computer om de opgevangen signalen te verwerken en te bewaren. Het is een passieve meting, dit betekent dat de sensoren in het kapje simpelweg de breinsignalen opvangen. De sensoren zenden zelf geen elektrische activiteit uit. ",,,
h13,What do I have to do during the EEG test? ,Wat moet ik doen tijdens de EEG test?,,,
p3,"During the EEG test, you will mainly use your smartphone while wearing the EEG cap and some additional sensors on your hands.  ",Tijdens de EEG test zult u voornamelijk uw smartphone gebruiken terwijl u een EEG kapje en enkele additionele sensoren op uw handen draagt.,,,
h14,Can anyone included in agestudy.nl participate in EEG test?  ,Kan iedere participant van agestudy.nl deelnemen aan de EEG test?,,,
p4,"Yes, everyone can participate in the EEG test. However, this is only possible if there are EEG slots open. You can sign up for the EEG test via email, this way we can make an appointment for you. ","Ja, iedereen kan deelnemen aan de EEG test. Dit is echter alleen mogelijk als er EEG plekken openstaan. Dus u moet zich opgeven voor de EEG test via e-mail, zodat wij u in kunnen plannen. ",,,
p5,"Before starting the measures, we will clean parts your face and head with an alcohol-based disinfectant. If you have sensitive skin or allergy to alcohol-based disinfectants, we do not recommend this measure. These measurements also require you sit on a comfortable chair for an hour or longer.  ","Voordat de metingen beginnen, zullen wij delen van uw gezicht en hoofd schoonmaken met een desinfectiemiddel op alcoholbasis. Als u gevoelige huid heeft of allergisch bent voor desinfectiemiddelen op alcoholbasis, bevelen wij deze meting niet aan. De metingen vereisen ook dat u op een comfortabele stoel zit voor voor een uur of langer. ",,,
h15,How long does the EEG test take?  ,Hoe lang duurt de EEG test?,,,
p6,"On the date of the EEG measure you will spend up to 4 hours with us in our building in Leiden.    During this time, you can use your smartphone with limited phone or voice calls. Further explanation will follow if you decide to participate in the EEG study. You will also be able to relax and use your smartphone in public areas of the building, including the cafeteria. There are toilets available in the building.

The first hour of the measurement will occur in the laboratory. ","Op de datum van de EEG meting zult u maximaal 4 uur met ons in het gebouw besteden. Tijdens deze tijd kunt u uw smartphone gebruiken met een beperkt aantal telefoongesprekken.  Als u besluit deel te nemen aan het EEG onderzoek volgt er verdere toelichting. U kunt ook ontspannen en uw smartphone gebruiken in de openbare ruimtes van het gebouw, waaronder de kantine. Er zijn toiletten beschikbaar in het gebouw.

 Het eerste uur van de meting vindt plaats in het laboratorium. ",,,
h16,What happens after the EEG test?  ,Wat gebeurt er na de EEG test?,,,
p7,"For the EEG test a salty gel will be used, which can be washed out with water. You are welcome to wash your hair in our shower.  We also offer hairnets to keep the salty gel from spreading further, so you can wash your hair at home.  ","Voor de EEG test wordt een zoute gel gebruikt, die weggewassen kan worden met water. U bent welkom om uw haar in de douche te wassen en wij bieden ook haarnetjes aan die voorkomen dat de zoute gel uitspreidt, zodat u uw haar thuis kunt wassen. ",,,
h17,How do I prepare for the EEG measurement?  ,Hoe bereid ik me voor op de EEG meting?,,,
li1_a,Charge and bring your smartphone. ,Laad uw smartphone op en neem hem mee.,,,
li1_b,Please try to have your phone charged and also bring your own charger with you. This is to ensure you have enough   ,Probeer uw smartphone opgeladen te houden en breng ook uw eigen oplader mee om er zeker van te zijn dat u genoeg ,,,
li1_c,battery ,batterij,,,
li1_d,when using your phone in the laboratory. ,heeft wanneer u uw telefoon gebruikt in het laboratorium. ,,,
li2_a,Wash your hair ,Was uw haar,,,
li2_b,"the night before or 4 hours before your EEG measure (and dry it!). Wet hair and scalp add to our preparation time, but unwashed hair is also problematic for the EEG measure. So please wash well several hours before the EEG measure takes place. ","de nacht voor of 4 uur voor uw EEG meting (en droog het haar!). Nat haar en natte hoofdhuid zorgen ervoor dat de voorbereidingstijd langer duurt, maar ongewassen haar is ook problematisch voor de EEG meting. Was dus alstublieft uw haar meerdere uren voor de EEG meting plaatsvindt.",,,
li2_c,Do not apply any hair gel or spray until we have finished the measurements please! ,Breng geen enkele vorm van haargel of -spray aan totdat we klaar zijn!,,,
li3_a,"Bring your own shampoo and towel (and other products you may need to wash your hair after the EEG test). In CODELAB we will apply a sticky and salty gel in order for us to be able to make contact with your skin, and removing this requires a good hair wash. We do have a shower available in the building. We would like to ask you to please bring your own towel, hair brush and make-up. We typically carry some (baby) shampoo, but we recommend you bring your own to guarantee that your hair gets the right treatment. ","Breng uw eigen shampoo en handdoek mee (en al het andere wat u nodig heeft om uw haar te wassen na de EEG meting). In het CODELAB zullen wij een klevende zoute gel aanbrengen om contact met uw huid te kunnen maken, en het weghalen hiervan vereist een goede wasbeurt. We hebben een douche in het gebouw. Wij verzoeken u om alstublieft uw eigen handdoek, haarkam en make-up mee te nemen. We hebben doorgaans wat (baby) shampoo, maar wij bevelen u aan om uw eigen shampoo mee te brengen zodat u kunt garanderen uw haar de juiste behandeling krijgt. ",,,
li3_b," If you plan to wash your hair at home after the EEG test, then bring along a cap","Als u van plan bent om uw haar thuis te wassen na de EEG meting, neem dan alstublieft een haarnetje mee ",,,
li3_c,so you can cover your hair with a protective hairnet – and continue to look fashionable in public.  , zodat u uw haar kan bedekken met een beschermend haarnetje – en er modieus uit blijft zijn in het openbaar.,,,
li4_a,Wear contact lenses?,Draagt u contactlenzen?,,,
li4_b,Then please bring your glasses along just in case those are more comfortable than the contacts in the laboratory. Most participants blink a lot whilst wearing contacts, which influences our measurements.  Therefore, we prefer to measure with glasses on instead of contacts.,Breng dan alstublieft uw bril mee in het geval dat de bril comfortabeler zit dan de lenzen in het laboratorium. De meeste deelnemers knipperen vaak terwijl zij lenzen dragen, wat onze metingen beïnvloedt. Wij geven daarom de voorkeur aan  meten terwijl u een bril draagt.
h18,Where will the EEG test take place? ,Waar zal de EEG test plaatsvinden?,,,
