tag,english,dutch
h11,Welcome,Welkom
check_1,I am comfortably sitting on a chair. I am on a computer with a keyboard.,Ik zit comfortabel op een stoel. Ik zit op een computer met een toetsenbord.
p0,Confirm this by checking the box to activate the tests.,Bevestig dit door het vakje aan te vinken om de onlinetests te activeren.
p1,This task is recommended,Deze oefening wordt aanbevolen
p2,There are more (optional) tasks for you. Try them out!,Er zijn meer (optionele) taken voor u. Probeer ze!
button1,Try another task,Probeer een andere oefening
button2,Collect payment,Betaling ophalen
js_title,Money earned so far:,Geld verdiend tot nu toe
p3,Ensure your App is working for successful participation,Zorg ervoor dat uw App werkt voor succesvolle deelname
button_app,Read more, Lees meer
payment_info,You can collect your compensation annually,U kunt uw vergoeding jaarlijks incasseren
click_show_p_id,Click to see your participation id, Klik om uw deelname-ID te zien
title_bb_board,My Messages,Mijn Berichten
title_card,Welcome,Welkom
msg_card,Good luck with the tasks,Veel succes met de taken
len_rec_system_payment_1,You have referred our research to ,U heeft ons onderzoek doorverwezen naar
len_rec_system_payment_2,friend(s),vriend(en)
