tag,english,dutch
h11,Recommend this study to your friends,Beveel deze studie aan uw vrienden
p11,My promocode , Mijn promocode
p12,Promocode:,Promocode:
p13,You can pass this token to any number of acquaintances to gain a reward of 5 EUR per successful referral (Minimum study participation of 1 year. See <a href=/for_participant#compensation> compensation</a> section for more information),U kunt deze code doorgeven aan anderen die zich willen aanmelden voor het onderzoek. U kunt hiermee 5 euro per succesvolle verwijzing verdienen (Minimale deelname 1 jaar. Zie de <a href=/for_participant#compensation> toelichting op de beloning </a> voor meer informatie).
copy,Copy promocode, Kopieer promocode
h12,Has this study been recommended to you by a friend? Fill in their promocode here., Bent u doorverwezen naar dit onderzoek door een vriend? Vul hier hun promocode in (optioneel)
placeholder,promocode,Promocode
button1,Submit,Verzenden
invalid_feedback,This code does not exist,Deze code bestaat niet
p14,The promotion code is used for rewarding your acquaintance and thus he/she may know if you successfully participated or not. No other user data is shared with the acquaintance who gave you this code.,Deze code wordt gebruikt om degene die u heeft doorverwezen te belonen. Door de beloning zou hij/zij kunnen zien of u wel of niet succesvol heeft deelgenomen aan dit onderzoek.
