tag,english,dutch,
h1,Touchscreen behavior and brain functions across the lifespan, Gedrag van het touchscreen en hersenfuncties gedurende het hele leven 
p2,Thank you for participating in this study. We would now like to provide further information about this study as you leave us., Bedankt voor uw deelname aan dit onderzoek. We willen u graag meer informatie geven over dit onderzoek nu u ons verlaat. 
p3,You can always access our <a href=/for_participant#start_info>information letter</a> to view all the details associated with this study. This study aims to discover and explain cognitive and behavioral fluctuations across the adult lifespan. Towards this the smartphone behavioral logs gathered using an App on your smartphone would help quantify the behavioral fluctuations and the cognitive tasks would help link these fluctuations to brain functions. If you opted to participate in <a href=/eeg>EEG measures</a> these measures provide direct access to the brain functions underlying smartphone behavior – and how they alter with age.  These efforts contribute to highly rich data for scientists that can be processed independently (for instance: smartphone behavior alone) and in combination (for instance: smartphone behavior along with EEG measurements)., U kunt altijd onze <a href=/for_participant#start_info>informatiebrief</a> raadplegen voor alle details met betrekking tot dit onderzoek. Dit onderzoek heeft als doel cognitieve en gedragsfluctuaties gedurende de volwassen levensduur te ontdekken en te verklaren. Daartoe zouden de gedragslogs van uw smartphone - verzameld met behulp van een app op uw smartphone - helpen bij het kwantificeren van gedragsfluctuaties. De cognitieve taken zouden helpen bij het verbinden van deze fluctuaties met hersenfuncties. Als u ervoor hebt gekozen om deel te nemen aan <a href=/eeg>EEG-metingen</a> bieden deze metingen directe toegang tot de hersenfuncties die ten grondslag liggen aan het gedrag van de smartphone - en hoe deze veranderen met de leeftijd. Deze inspanningen leveren zeer rijke gegevens op voor wetenschappers die onafhankelijk kunnen worden verwerkt (bijvoorbeeld alleen smartphonegedrag) en in combinatie (bijvoorbeeld smartphonegedrag samen met EEG-metingen). 
p4,The App on your phone requires some extra attention. Please uninstall the App – as this will ensure that the data collection from your phone is immediately terminated. If you participate in a different study using the same App please get in touch with the study team immediately (contact information below)., De app op uw telefoon vereist wat extra aandacht. Verwijder alstublieft de app - dit zorgt ervoor dat de gegevensverzameling vanaf uw telefoon onmiddellijk wordt beëindigd. Als u deelneemt aan een ander onderzoek met dezelfde app - neem dan onmiddellijk contact op met het onderzoeksteam (contactgegevens hieronder). 
p5,We shall make our findings from this study available via scientific publications. Note that such findings are reported devoid of any personal identifiers.,  We zullen onze bevindingen uit dit onderzoek beschikbaar stellen via wetenschappelijke publicaties. Let op: dergelijke bevindingen worden gerapporteerd zonder persoonlijke identificatiegegevens. 
p6,If you have decided to withdraw from the study please refer back to the withdrawal procedure and its consequences as detailed in the <a href=/for_participant#withdrawal>information letter</a>., Raadpleeg het terugtrekkingsproces en de gevolgen zoals beschreven in de <a href=/for_participant#withdrawal>informatiebrief</a> als u hebt besloten zich terug te trekken uit het onderzoek. 
p7,Finally you agreed to be contacted in the future via email in case of an extension or renewal of this study. If you no longer wish to be contacted please let us know within 2 weeks (contact information below). If you wish to withdraw this permission there is no impact on your study compensation., Ten slotte stemde u ermee in om in de toekomst via e-mail gecontacteerd te worden in geval van een verlenging of vernieuwing van dit onderzoek. Als u niet langer wenst te worden gecontacteerd laat het ons dan binnen 2 weken weten (contactgegevens hieronder). Als u deze toestemming wilt intrekken heeft dit geen invloed op uw onderzoeksvergoeding. 
h8,Contact information, Contactgegevens 
p9,If you have any questions after participating in this study you can contact the (principal) investigator: Arko Ghosh - a.ghosh@fsw.leidenuniv.nl - and the study team at: agestudy@fsw.leidenuniv.nl., Als u na deelname aan dit onderzoek vragen heeft kunt u contact opnemen met de (hoofd)onderzoeker: Arko Ghosh - a.ghosh@fsw.leidenuniv.nl - en het onderzoeksteam via: agestudy@fsw.leidenuniv.nl 
p10,You can contact the investigator if you have a complaint. If you prefer not to do so you can contact the Contact point for research participants at the Faculty of Social Sciences of Leiden University: Contactpuntparticipanten@fsw.leidenuniv.nl., U kunt contact opnemen met de onderzoeker als u een klacht heeft. Als u dat liever niet doet kunt u contact opnemen met het Contactpunt voor deelnemers aan onderzoek aan de Faculteit der Sociale Wetenschappen van de Universiteit Leiden: Contactpuntparticipanten@fsw.leidenuniv.nl 
p11,If you have any questions or complaints about your privacy or the processing of your personal data you can contact the privacy officer of Leiden University: privacy@bb.leidenuniv.nl, Als u vragen of klachten heeft over uw privacy of de verwerking van uw persoonlijke gegevens kunt u contact opnemen met de privacy officer van de Universiteit Leiden: privacy@bb.leidenuniv.nl 
